Location,Type,DOB,DOW,Cal Year,Fiscal Year,Week,Period,Quarter,Hours,Labor $,Hour %,SalaryCost,SalaryPercent,Total Payroll,Sales,Area
LBX,Year Ago,2/20/24,Tuesday,2024,2024,8,2,1,0,0,0,0,0,0,0,SoCal 4
Long Beach,Actual,2/20/24,Tuesday,2024,2024,8,2,1,32.91,583,24.22,0,0,583,2405.03,SoCal 4
Long Beach,Scheduled,2/20/24,Tuesday,2024,2024,8,2,1,41.5,718.23,28.73,0,0,718.23,2500,SoCal 4
Long Beach,Year Ago,2/20/24,Tuesday,2024,2024,8,2,1,38.76,661,17.7,0,0,661,3829.05,SoCal 4
Manhattan Beach,Actual,2/20/24,Tuesday,2024,2024,8,2,1,33.09,664,27.68,0,0,664,2400.65,SoCal 4
Manhattan Beach,Scheduled,2/20/24,Tuesday,2024,2024,8,2,1,27,512.55,23.3,0,0,512.55,2200,SoCal 4
Manhattan Beach,Year Ago,2/20/24,Tuesday,2024,2024,8,2,1,41.33,816,31.07,0,0,816,2627.4,SoCal 4
Marina Del Rey,Actual,2/20/24,Tuesday,2024,2024,8,2,1,25.12,542,25.71,0,0,542,2107.27,SoCal 4
Marina Del Rey,Scheduled,2/20/24,Tuesday,2024,2024,8,2,1,29,610.28,24.41,0,0,610.28,2500,SoCal 4
Marina Del Rey,Year Ago,2/20/24,Tuesday,2024,2024,8,2,1,27.31,543,22.61,0,0,543,2400.61,SoCal 4
Newport Beach,Actual,2/20/24,Tuesday,2024,2024,8,2,1,33.14,621,21.17,183,6,804,2935.19,SoCal 4
Newport Beach,Scheduled,2/20/24,Tuesday,2024,2024,8,2,1,33.25,615,21.96,0,0,615,2800,SoCal 4
Newport Beach,Year Ago,2/20/24,Tuesday,2024,2024,8,2,1,30.91,562,17.62,177,5,739,3333.84,SoCal 4
Tustin,Actual,2/20/24,Tuesday,2024,2024,8,2,1,29.94,553,22.71,0,0,553,2437.11,SoCal 4
Tustin,Scheduled,2/20/24,Tuesday,2024,2024,8,2,1,29.5,546.5,22.77,0,0,546.5,2400,SoCal 4
Tustin,Year Ago,2/20/24,Tuesday,2024,2024,8,2,1,36.96,602,19.68,0,0,602,3058.73,SoCal 4
Westminster,Actual,2/20/24,Tuesday,2024,2024,8,2,1,21.14,427,44.62,0,0,427,958.12,SoCal 4
Westminster,Scheduled,2/20/24,Tuesday,2024,2024,8,2,1,21.25,428,28.53,0,0,428,1500,SoCal 4
Westminster,Year Ago,2/20/24,Tuesday,2024,2024,8,2,1,0,0,0,0,0,0,1154.92,SoCal 4
Carson,Actual,2/21/24,Wednesday,2024,2024,8,2,1,33.2,672,14.82,0,0,672,4534.9,SoCal 4
Carson,Scheduled,2/21/24,Wednesday,2024,2024,8,2,1,33,667.83,19.64,0,0,667.83,3400,SoCal 4
Carson,Year Ago,2/21/24,Wednesday,2024,2024,8,2,1,44.65,861,24.54,0,0,861,3510.36,SoCal 4
Costa Mesa,Actual,2/21/24,Wednesday,2024,2024,8,2,1,32.78,569,38.38,0,0,569,1482.57,SoCal 4
Costa Mesa,Scheduled,2/21/24,Wednesday,2024,2024,8,2,1,29,584.69,32.48,0,0,584.69,1800,SoCal 4
Costa Mesa,Year Ago,2/21/24,Wednesday,2024,2024,8,2,1,32.27,559,20.9,0,0,559,2676.38,SoCal 4
El Segundo,Actual,2/21/24,Wednesday,2024,2024,8,2,1,35.92,627,16.24,0,0,627,3860.66,SoCal 4
El Segundo,Scheduled,2/21/24,Wednesday,2024,2024,8,2,1,33,575.25,16.92,0,0,575.25,3400,SoCal 4
El Segundo,Year Ago,2/21/24,Wednesday,2024,2024,8,2,1,39.7,730,17.22,0,0,730,4238.07,SoCal 4
Fountain Valley,Actual,2/21/24,Wednesday,2024,2024,8,2,1,27.95,519,25.85,0,0,519,2008.69,SoCal 4
Fountain Valley,Scheduled,2/21/24,Wednesday,2024,2024,8,2,1,27,508,23.09,0,0,508,2200,SoCal 4
Fountain Valley,Year Ago,2/21/24,Wednesday,2024,2024,8,2,1,35.31,632,21.08,0,0,632,3119.82,SoCal 4
Five Points,Actual,2/21/24,Wednesday,2024,2024,8,2,1,26.69,486,25.03,0,0,486,1941.89,SoCal 4
Five Points,Scheduled,2/21/24,Wednesday,2024,2024,8,2,1,26.25,476.75,31.78,0,0,476.75,1500,SoCal 4
Five Points,Year Ago,2/21/24,Wednesday,2024,2024,8,2,1,0,0,0,0,0,0,0,SoCal 4
LBX,Actual,2/21/24,Wednesday,2024,2024,8,2,1,36.63,733,22.54,0,0,733,3252.59,SoCal 4
LBX,Scheduled,2/21/24,Wednesday,2024,2024,8,2,1,35.5,705.83,22.77,0,0,705.83,3100,SoCal 4
LBX,Year Ago,2/21/24,Wednesday,2024,2024,8,2,1,0,0,0,0,0,0,0,SoCal 4
Long Beach,Actual,2/21/24,Wednesday,2024,2024,8,2,1,36.32,634,21.2,0,0,634,2988.69,SoCal 4
Long Beach,Scheduled,2/21/24,Wednesday,2024,2024,8,2,1,40,698.85,23.3,0,0,698.85,3000,SoCal 4
Long Beach,Year Ago,2/21/24,Wednesday,2024,2024,8,2,1,40.31,688,17.79,0,0,688,3869.18,SoCal 4
Manhattan Beach,Actual,2/21/24,Wednesday,2024,2024,8,2,1,32.94,664,37.21,0,0,664,1783.91,SoCal 4
Manhattan Beach,Scheduled,2/21/24,Wednesday,2024,2024,8,2,1,37,729.05,29.16,0,0,729.05,2500,SoCal 4
Manhattan Beach,Year Ago,2/21/24,Wednesday,2024,2024,8,2,1,45.86,907,23.31,0,0,907,3893.18,SoCal 4
Marina Del Rey,Actual,2/21/24,Wednesday,2024,2024,8,2,1,30.54,597,31.99,0,0,597,1936.33,SoCal 4
Marina Del Rey,Scheduled,2/21/24,Wednesday,2024,2024,8,2,1,31,588.82,29.44,0,0,588.82,2000,SoCal 4
Marina Del Rey,Year Ago,2/21/24,Wednesday,2024,2024,8,2,1,28.55,545,21.34,0,0,545,2554.93,SoCal 4
Newport Beach,Actual,2/21/24,Wednesday,2024,2024,8,2,1,31.6,532,15.71,183,5,715,3493.45,SoCal 4
Newport Beach,Scheduled,2/21/24,Wednesday,2024,2024,8,2,1,36,659.5,21.98,0,0,659.5,3000,SoCal 4
Newport Beach,Year Ago,2/21/24,Wednesday,2024,2024,8,2,1,35.1,609,19.09,177,6,786,3191.81,SoCal 4
Tustin,Actual,2/21/24,Wednesday,2024,2024,8,2,1,37.87,695,17.07,0,0,695,4074.19,SoCal 4
Tustin,Scheduled,2/21/24,Wednesday,2024,2024,8,2,1,29.5,559.5,21.52,0,0,559.5,2600,SoCal 4
Tustin,Year Ago,2/21/24,Wednesday,2024,2024,8,2,1,36.61,662,20.2,0,0,662,3278.47,SoCal 4
Westminster,Actual,2/21/24,Wednesday,2024,2024,8,2,1,27.18,524,33.69,0,0,524,1554.74,SoCal 4
Westminster,Scheduled,2/21/24,Wednesday,2024,2024,8,2,1,27.5,528.38,35.23,0,0,528.38,1500,SoCal 4
Westminster,Year Ago,2/21/24,Wednesday,2024,2024,8,2,1,0,0,0,0,0,0,922.88,SoCal 4
Carson,Actual,2/22/24,Thursday,2024,2024,8,2,1,37.34,732,21.77,0,0,732,3364.1,SoCal 4
Carson,Scheduled,2/22/24,Thursday,2024,2024,8,2,1,37,726.65,21.37,0,0,726.65,3400,SoCal 4
Carson,Year Ago,2/22/24,Thursday,2024,2024,8,2,1,36.68,737,20,0,0,737,3686.35,SoCal 4
Costa Mesa,Actual,2/22/24,Thursday,2024,2024,8,2,1,24.07,497,36.09,0,0,497,1377.56,SoCal 4
Costa Mesa,Scheduled,2/22/24,Thursday,2024,2024,8,2,1,25,505.81,28.1,0,0,505.81,1800,SoCal 4
Costa Mesa,Year Ago,2/22/24,Thursday,2024,2024,8,2,1,26.76,537,26.8,0,0,537,2003.01,SoCal 4
El Segundo,Actual,2/22/24,Thursday,2024,2024,8,2,1,37.81,824,17.62,0,0,824,4674.48,SoCal 4
El Segundo,Scheduled,2/22/24,Thursday,2024,2024,8,2,1,35.5,765.5,15.31,0,0,765.5,5000,SoCal 4
El Segundo,Year Ago,2/22/24,Thursday,2024,2024,8,2,1,45.7,879,23.75,0,0,879,3700.81,SoCal 4
Fountain Valley,Actual,2/22/24,Thursday,2024,2024,8,2,1,28.59,476,18.18,0,0,476,2618.3,SoCal 4
Fountain Valley,Scheduled,2/22/24,Thursday,2024,2024,8,2,1,29,482.5,17.23,0,0,482.5,2800,SoCal 4
Fountain Valley,Year Ago,2/22/24,Thursday,2024,2024,8,2,1,33.94,635,22.29,0,0,635,2850.49,SoCal 4
Five Points,Actual,2/22/24,Thursday,2024,2024,8,2,1,22.91,430,32.45,0,0,430,1324.18,SoCal 4
Five Points,Scheduled,2/22/24,Thursday,2024,2024,8,2,1,28,510.81,28.38,0,0,510.81,1800,SoCal 4
Five Points,Year Ago,2/22/24,Thursday,2024,2024,8,2,1,0,0,0,0,0,0,0,SoCal 4
LBX,Actual,2/22/24,Thursday,2024,2024,8,2,1,30.3,629,18.86,0,0,629,3332.97,SoCal 4
LBX,Scheduled,2/22/24,Thursday,2024,2024,8,2,1,36,648.85,19.66,0,0,648.85,3300,SoCal 4
LBX,Year Ago,2/22/24,Thursday,2024,2024,8,2,1,0,0,0,0,0,0,0,SoCal 4
Long Beach,Actual,2/22/24,Thursday,2024,2024,8,2,1,39.05,800,25.64,0,0,800,3120.73,SoCal 4
Long Beach,Scheduled,2/22/24,Thursday,2024,2024,8,2,1,42.5,850.15,27.42,0,0,850.15,3100,SoCal 4
Long Beach,Year Ago,2/22/24,Thursday,2024,2024,8,2,1,40.53,771,16.52,0,0,771,4768.69,SoCal 4
Manhattan Beach,Actual,2/22/24,Thursday,2024,2024,8,2,1,35.02,710,21.08,0,0,710,3366.06,SoCal 4
Manhattan Beach,Scheduled,2/22/24,Thursday,2024,2024,8,2,1,36,735.48,29.42,0,0,735.48,2500,SoCal 4
Manhattan Beach,Year Ago,2/22/24,Thursday,2024,2024,8,2,1,47.02,899,26.5,0,0,899,3393.44,SoCal 4
Marina Del Rey,Actual,2/22/24,Thursday,2024,2024,8,2,1,30.28,614,27.53,0,0,614,2229.03,SoCal 4
Marina Del Rey,Scheduled,2/22/24,Thursday,2024,2024,8,2,1,31,633.49,31.67,0,0,633.49,2000,SoCal 4
Marina Del Rey,Year Ago,2/22/24,Thursday,2024,2024,8,2,1,32.92,610,23.76,0,0,610,2565.98,SoCal 4
Newport Beach,Actual,2/22/24,Thursday,2024,2024,8,2,1,31.52,591,18.42,183,6,774,3208.16,SoCal 4
Newport Beach,Scheduled,2/22/24,Thursday,2024,2024,8,2,1,28.75,531.25,17.71,0,0,531.25,3000,SoCal 4
Newport Beach,Year Ago,2/22/24,Thursday,2024,2024,8,2,1,35.13,633,20.5,177,6,810,3089.33,SoCal 4
Tustin,Actual,2/22/24,Thursday,2024,2024,8,2,1,31.2,591,17.93,0,0,591,3433.41,SoCal 4
Tustin,Scheduled,2/22/24,Thursday,2024,2024,8,2,1,29.5,542,20.85,0,0,542,2600,SoCal 4
Tustin,Year Ago,2/22/24,Thursday,2024,2024,8,2,1,35.69,632,22.22,0,0,632,2845.85,SoCal 4
Westminster,Actual,2/22/24,Thursday,2024,2024,8,2,1,26.46,504,20.86,0,0,504,2414.35,SoCal 4
Westminster,Scheduled,2/22/24,Thursday,2024,2024,8,2,1,24,465.38,22.16,0,0,465.38,2100,SoCal 4
Westminster,Year Ago,2/22/24,Thursday,2024,2024,8,2,1,0,0,0,0,0,0,1507.63,SoCal 4
Carson,Actual,2/23/24,Friday,2024,2024,8,2,1,40.53,804,21.91,0,0,804,3791.08,SoCal 4
Carson,Scheduled,2/23/24,Friday,2024,2024,8,2,1,37.5,736.8,19.91,0,0,736.8,3700,SoCal 4
Carson,Year Ago,2/23/24,Friday,2024,2024,8,2,1,32.17,648,26.25,0,0,648,2467.76,SoCal 4
Costa Mesa,Actual,2/23/24,Friday,2024,2024,8,2,1,27.97,495,21.77,0,0,495,2272.91,SoCal 4
Costa Mesa,Scheduled,2/23/24,Friday,2024,2024,8,2,1,27.5,485.69,24.28,0,0,485.69,2000,SoCal 4
Costa Mesa,Year Ago,2/23/24,Friday,2024,2024,8,2,1,30.6,532,30.94,0,0,532,1719.84,SoCal 4
El Segundo,Actual,2/23/24,Friday,2024,2024,8,2,1,35.22,795,26.96,0,0,795,2948.06,SoCal 4
El Segundo,Scheduled,2/23/24,Friday,2024,2024,8,2,1,32.5,720.2,21.82,0,0,720.2,3300,SoCal 4
El Segundo,Year Ago,2/23/24,Friday,2024,2024,8,2,1,37.76,747,29.73,0,0,747,2512.2,SoCal 4
Fountain Valley,Actual,2/23/24,Friday,2024,2024,8,2,1,33.11,597,27.37,0,0,597,2240.04,SoCal 4
Fountain Valley,Scheduled,2/23/24,Friday,2024,2024,8,2,1,33.5,608.5,21.73,0,0,608.5,2800,SoCal 4
Fountain Valley,Year Ago,2/23/24,Friday,2024,2024,8,2,1,36.79,671,20,0,0,671,3354.79,SoCal 4
Five Points,Actual,2/23/24,Friday,2024,2024,8,2,1,26.78,503,34.31,0,0,503,1467.48,SoCal 4
Five Points,Scheduled,2/23/24,Friday,2024,2024,8,2,1,26.5,498.44,27.69,0,0,498.44,1800,SoCal 4
Five Points,Year Ago,2/23/24,Friday,2024,2024,8,2,1,0,0,0,0,0,0,0,SoCal 4
LBX,Actual,2/23/24,Friday,2024,2024,8,2,1,37.06,739,20.21,0,0,739,3655.15,SoCal 4
LBX,Scheduled,2/23/24,Friday,2024,2024,8,2,1,36,725.78,21.99,0,0,725.78,3300,SoCal 4
LBX,Year Ago,2/23/24,Friday,2024,2024,8,2,1,0,0,0,0,0,0,0,SoCal 4
Long Beach,Actual,2/23/24,Friday,2024,2024,8,2,1,40.61,842,17.06,0,0,842,4931.72,SoCal 4
Long Beach,Scheduled,2/23/24,Friday,2024,2024,8,2,1,42.5,854.13,24.4,0,0,854.13,3500,SoCal 4
Long Beach,Year Ago,2/23/24,Friday,2024,2024,8,2,1,44.08,837,21.77,0,0,837,3842.15,SoCal 4
Manhattan Beach,Actual,2/23/24,Friday,2024,2024,8,2,1,30.33,642,29.38,0,0,642,2185.25,SoCal 4
Manhattan Beach,Scheduled,2/23/24,Friday,2024,2024,8,2,1,36,735.13,29.41,0,0,735.13,2500,SoCal 4
Manhattan Beach,Year Ago,2/23/24,Friday,2024,2024,8,2,1,45.47,852,26.79,0,0,852,3240.36,SoCal 4
Marina Del Rey,Actual,2/23/24,Friday,2024,2024,8,2,1,29.56,549,27.96,0,0,549,1964.69,SoCal 4
Marina Del Rey,Scheduled,2/23/24,Friday,2024,2024,8,2,1,30,558.22,27.91,0,0,558.22,2000,SoCal 4
Marina Del Rey,Year Ago,2/23/24,Friday,2024,2024,8,2,1,24.57,534,21.01,0,0,534,2655.69,SoCal 4
Newport Beach,Actual,2/23/24,Friday,2024,2024,8,2,1,30.22,548,27.44,183,9,731,2059.15,SoCal 4
Newport Beach,Scheduled,2/23/24,Friday,2024,2024,8,2,1,28.75,525.5,17.52,0,0,525.5,3000,SoCal 4
Newport Beach,Year Ago,2/23/24,Friday,2024,2024,8,2,1,31.94,549,22.39,177,7,726,2529.1,SoCal 4
Tustin,Actual,2/23/24,Friday,2024,2024,8,2,1,35.97,596,20.02,0,0,596,2978.06,SoCal 4
Tustin,Scheduled,2/23/24,Friday,2024,2024,8,2,1,36,598.5,21.38,0,0,598.5,2800,SoCal 4
Tustin,Year Ago,2/23/24,Friday,2024,2024,8,2,1,35.13,597,22.93,0,0,597,2601.56,SoCal 4
Westminster,Actual,2/23/24,Friday,2024,2024,8,2,1,22.14,442,20.36,0,0,442,2170.82,SoCal 4
Westminster,Scheduled,2/23/24,Friday,2024,2024,8,2,1,23.25,461.75,30.78,0,0,461.75,1500,SoCal 4
Westminster,Year Ago,2/23/24,Friday,2024,2024,8,2,1,0,0,0,0,0,0,1252.49,SoCal 4
Carson,Actual,2/24/24,Saturday,2024,2024,8,2,1,40.48,721,23.85,0,0,721,3024.52,SoCal 4
Carson,Scheduled,2/24/24,Saturday,2024,2024,8,2,1,37.5,650.63,23.24,0,0,650.63,2800,SoCal 4
Carson,Year Ago,2/24/24,Saturday,2024,2024,8,2,1,35.99,613,25.79,0,0,613,2443.01,SoCal 4
Costa Mesa,Actual,2/24/24,Saturday,2024,2024,8,2,1,27,479,25.47,0,0,479,1944.37,SoCal 4
Costa Mesa,Scheduled,2/24/24,Saturday,2024,2024,8,2,1,28,495.81,24.79,0,0,495.81,2000,SoCal 4
Costa Mesa,Year Ago,2/24/24,Saturday,2024,2024,8,2,1,27.32,480,24.2,0,0,480,1982.99,SoCal 4
El Segundo,Actual,2/24/24,Saturday,2024,2024,8,2,1,27.41,540,22.44,0,0,540,2404.35,SoCal 4
El Segundo,Scheduled,2/24/24,Saturday,2024,2024,8,2,1,28,548.13,24.91,0,0,548.13,2200,SoCal 4
El Segundo,Year Ago,2/24/24,Saturday,2024,2024,8,2,1,34.34,583,21.74,0,0,583,2680.55,SoCal 4
Fountain Valley,Actual,2/24/24,Saturday,2024,2024,8,2,1,35.15,657,28.32,0,0,657,2319.18,SoCal 4
Fountain Valley,Scheduled,2/24/24,Saturday,2024,2024,8,2,1,35,642,27.91,0,0,642,2300,SoCal 4
Fountain Valley,Year Ago,2/24/24,Saturday,2024,2024,8,2,1,38.41,628,25.07,0,0,628,2574.04,SoCal 4
Five Points,Actual,2/24/24,Saturday,2024,2024,8,2,1,25.71,469,25.97,0,0,469,1807.95,SoCal 4
Five Points,Scheduled,2/24/24,Saturday,2024,2024,8,2,1,28.5,525.19,29.18,0,0,525.19,1800,SoCal 4
Five Points,Year Ago,2/24/24,Saturday,2024,2024,8,2,1,0,0,0,0,0,0,0,SoCal 4
LBX,Actual,2/24/24,Saturday,2024,2024,8,2,1,36.52,745,19.72,0,0,745,3780.09,SoCal 4
LBX,Scheduled,2/24/24,Saturday,2024,2024,8,2,1,35.5,719.3,23.98,0,0,719.3,3000,SoCal 4
LBX,Year Ago,2/24/24,Saturday,2024,2024,8,2,1,0,0,0,0,0,0,0,SoCal 4
Long Beach,Actual,2/24/24,Saturday,2024,2024,8,2,1,44.99,909,26.9,0,0,909,3510.31,SoCal 4
Long Beach,Scheduled,2/24/24,Saturday,2024,2024,8,2,1,43.5,870.13,23.52,0,0,870.13,3700,SoCal 4
Long Beach,Year Ago,2/24/24,Saturday,2024,2024,8,2,1,47.06,903,20.57,0,0,903,4470.23,SoCal 4
Manhattan Beach,Actual,2/24/24,Saturday,2024,2024,8,2,1,35.93,709,22.07,0,0,709,3329.9,SoCal 4
Manhattan Beach,Scheduled,2/24/24,Saturday,2024,2024,8,2,1,39.5,785.15,21.81,0,0,785.15,3600,SoCal 4
Manhattan Beach,Year Ago,2/24/24,Saturday,2024,2024,8,2,1,54.47,1000,27.18,0,0,1000,3738.5,SoCal 4
Marina Del Rey,Actual,2/24/24,Saturday,2024,2024,8,2,1,30.72,592,23.76,0,0,592,2490.38,SoCal 4
Marina Del Rey,Scheduled,2/24/24,Saturday,2024,2024,8,2,1,29.5,569.37,24.76,0,0,569.37,2300,SoCal 4
Marina Del Rey,Year Ago,2/24/24,Saturday,2024,2024,8,2,1,37.88,820,35.37,0,0,820,2318.83,SoCal 4
Newport Beach,Actual,2/24/24,Saturday,2024,2024,8,2,1,36.96,658,41.27,183,11,841,1595.03,SoCal 4
Newport Beach,Scheduled,2/24/24,Saturday,2024,2024,8,2,1,37.75,677.5,37.64,0,0,677.5,1800,SoCal 4
Newport Beach,Year Ago,2/24/24,Saturday,2024,2024,8,2,1,26.89,425,28.87,177,12,602,1472.86,SoCal 4
Tustin,Actual,2/24/24,Saturday,2024,2024,8,2,1,38.98,649,20.61,0,0,649,3316.16,SoCal 4
Tustin,Scheduled,2/24/24,Saturday,2024,2024,8,2,1,40,667.5,22.25,0,0,667.5,3000,SoCal 4
Tustin,Year Ago,2/24/24,Saturday,2024,2024,8,2,1,38.72,628,19.76,0,0,628,3265.77,SoCal 4
Westminster,Actual,2/24/24,Saturday,2024,2024,8,2,1,24.57,452,27.18,0,0,452,1664.33,SoCal 4
Westminster,Scheduled,2/24/24,Saturday,2024,2024,8,2,1,28,512.13,34.14,0,0,512.13,1500,SoCal 4
Westminster,Year Ago,2/24/24,Saturday,2024,2024,8,2,1,0,0,0,0,0,0,1914.33,SoCal 4
Carson,Actual,2/25/24,Sunday,2024,2024,8,2,1,34.65,602,20.46,0,0,602,2943.63,SoCal 4
Carson,Scheduled,2/25/24,Sunday,2024,2024,8,2,1,37.75,654.85,25.19,0,0,654.85,2600,SoCal 4
Carson,Year Ago,2/25/24,Sunday,2024,2024,8,2,1,37.22,634,16.61,0,0,634,3814.15,SoCal 4
Costa Mesa,Actual,2/25/24,Sunday,2024,2024,8,2,1,27.49,534,29.6,0,0,534,1803.14,SoCal 4
Costa Mesa,Scheduled,2/25/24,Sunday,2024,2024,8,2,1,28,549.56,34.35,0,0,549.56,1600,SoCal 4
Costa Mesa,Year Ago,2/25/24,Sunday,2024,2024,8,2,1,29.27,508,19.71,0,0,508,2576.74,SoCal 4
El Segundo,Actual,2/25/24,Sunday,2024,2024,8,2,1,29.09,670,30.79,0,0,670,2176.31,SoCal 4
El Segundo,Scheduled,2/25/24,Sunday,2024,2024,8,2,1,26.5,593.95,28.28,0,0,593.95,2100,SoCal 4
El Segundo,Year Ago,2/25/24,Sunday,2024,2024,8,2,1,40.33,692,27.33,0,0,692,2533.69,SoCal 4
Fountain Valley,Actual,2/25/24,Sunday,2024,2024,8,2,1,31.54,581,28.85,0,0,581,2013.97,SoCal 4
Fountain Valley,Scheduled,2/25/24,Sunday,2024,2024,8,2,1,31,515,23.41,0,0,515,2200,SoCal 4
Fountain Valley,Year Ago,2/25/24,Sunday,2024,2024,8,2,1,34.43,595,17.46,0,0,595,3509.6,SoCal 4
Five Points,Actual,2/25/24,Sunday,2024,2024,8,2,1,27.06,497,33.55,0,0,497,1545.28,SoCal 4
Five Points,Scheduled,2/25/24,Sunday,2024,2024,8,2,1,27,489.06,30.57,0,0,489.06,1600,SoCal 4
Five Points,Year Ago,2/25/24,Sunday,2024,2024,8,2,1,0,0,0,0,0,0,0,SoCal 4
LBX,Actual,2/25/24,Sunday,2024,2024,8,2,1,35.56,730,21.17,0,0,730,3449.5,SoCal 4
LBX,Scheduled,2/25/24,Sunday,2024,2024,8,2,1,35,626.1,20.87,0,0,626.1,3000,SoCal 4
LBX,Year Ago,2/25/24,Sunday,2024,2024,8,2,1,0,0,0,0,0,0,0,SoCal 4
Long Beach,Actual,2/25/24,Sunday,2024,2024,8,2,1,39.43,804,17.88,0,0,804,4497.97,SoCal 4
Long Beach,Scheduled,2/25/24,Sunday,2024,2024,8,2,1,38,778.53,21.04,0,0,778.53,3700,SoCal 4
Long Beach,Year Ago,2/25/24,Sunday,2024,2024,8,2,1,42.93,808,17.72,0,0,808,4562.96,SoCal 4
Manhattan Beach,Actual,2/25/24,Sunday,2024,2024,8,2,1,39.66,775,20.03,0,0,775,3866.19,SoCal 4
Manhattan Beach,Scheduled,2/25/24,Sunday,2024,2024,8,2,1,35.5,695.45,19.87,0,0,695.45,3500,SoCal 4
Manhattan Beach,Year Ago,2/25/24,Sunday,2024,2024,8,2,1,56.93,1079,26.01,0,0,1079,4147.79,SoCal 4
Marina Del Rey,Actual,2/25/24,Sunday,2024,2024,8,2,1,30.5,619,32.24,0,0,619,1919.11,SoCal 4
Marina Del Rey,Scheduled,2/25/24,Sunday,2024,2024,8,2,1,32.5,650.87,29.59,0,0,650.87,2200,SoCal 4
Marina Del Rey,Year Ago,2/25/24,Sunday,2024,2024,8,2,1,29.12,572,20.73,0,0,572,2759.14,SoCal 4
Newport Beach,Actual,2/25/24,Sunday,2024,2024,8,2,1,30.56,504,29.45,183,11,687,1712.37,SoCal 4
Newport Beach,Scheduled,2/25/24,Sunday,2024,2024,8,2,1,37.25,669.5,37.19,0,0,669.5,1800,SoCal 4
Newport Beach,Year Ago,2/25/24,Sunday,2024,2024,8,2,1,33.87,570,28.35,177,9,747,2010.47,SoCal 4
Tustin,Actual,2/25/24,Sunday,2024,2024,8,2,1,32.18,577,17.4,0,0,577,3318.34,SoCal 4
Tustin,Scheduled,2/25/24,Sunday,2024,2024,8,2,1,33,595,21.25,0,0,595,2800,SoCal 4
Tustin,Year Ago,2/25/24,Sunday,2024,2024,8,2,1,34.22,626,16.32,0,0,626,3834.29,SoCal 4
Westminster,Actual,2/25/24,Sunday,2024,2024,8,2,1,23.83,458,30.01,0,0,458,1526.38,SoCal 4
Westminster,Scheduled,2/25/24,Sunday,2024,2024,8,2,1,23,439,29.27,0,0,439,1500,SoCal 4
Westminster,Year Ago,2/25/24,Sunday,2024,2024,8,2,1,0,0,0,0,0,0,1941.03,SoCal 4
Carson,Actual,2/26/24,Monday,2024,2024,9,3,1,36.65,742,22.58,0,0,742,3287.52,SoCal 4
Carson,Scheduled,2/26/24,Monday,2024,2024,9,3,1,35.5,715.8,28.63,0,0,715.8,2500,SoCal 4
Carson,Year Ago,2/26/24,Monday,2024,2024,9,3,1,40.42,783,36.72,0,0,783,2132.76,SoCal 4
Costa Mesa,Actual,2/26/24,Monday,2024,2024,9,3,1,26.84,540,38.54,0,0,540,1402.18,SoCal 4
Costa Mesa,Scheduled,2/26/24,Monday,2024,2024,9,3,1,27,532.56,38.04,0,0,532.56,1400,SoCal 4
Costa Mesa,Year Ago,2/26/24,Monday,2024,2024,9,3,1,34.66,549,30.89,0,0,549,1838.97,SoCal 4
El Segundo,Actual,2/26/24,Monday,2024,2024,9,3,1,31.76,728,27.59,0,0,728,2639.86,SoCal 4
El Segundo,Scheduled,2/26/24,Monday,2024,2024,9,3,1,31,707.38,23.58,0,0,707.38,3000,SoCal 4
El Segundo,Year Ago,2/26/24,Monday,2024,2024,9,3,1,37.39,736,22.49,0,0,736,3273.71,SoCal 4
Fountain Valley,Actual,2/26/24,Monday,2024,2024,9,3,1,29.52,548,24.76,0,0,548,2212.38,SoCal 4
Fountain Valley,Scheduled,2/26/24,Monday,2024,2024,9,3,1,30,552.5,36.83,0,0,552.5,1500,SoCal 4
Fountain Valley,Year Ago,2/26/24,Monday,2024,2024,9,3,1,30.73,619,30.37,0,0,619,2037.09,SoCal 4
Five Points,Actual,2/26/24,Monday,2024,2024,9,3,1,26.64,496,40.5,0,0,496,1224.58,SoCal 4
Five Points,Scheduled,2/26/24,Monday,2024,2024,9,3,1,26.5,496.38,41.36,0,0,496.38,1200,SoCal 4
Five Points,Year Ago,2/26/24,Monday,2024,2024,9,3,1,0,0,0,0,0,0,0,SoCal 4
LBX,Actual,2/26/24,Monday,2024,2024,9,3,1,35.62,712,29.79,0,0,712,2388.86,SoCal 4
LBX,Scheduled,2/26/24,Monday,2024,2024,9,3,1,35,699.05,24.97,0,0,699.05,2800,SoCal 4
LBX,Year Ago,2/26/24,Monday,2024,2024,9,3,1,0,0,0,0,0,0,0,SoCal 4
Long Beach,Actual,2/26/24,Monday,2024,2024,9,3,1,39.8,827,22.24,0,0,827,3719.57,SoCal 4
Long Beach,Scheduled,2/26/24,Monday,2024,2024,9,3,1,37,753.53,23.55,0,0,753.53,3200,SoCal 4
Long Beach,Year Ago,2/26/24,Monday,2024,2024,9,3,1,39.47,750,24.95,0,0,750,3005.04,SoCal 4
Manhattan Beach,Actual,2/26/24,Monday,2024,2024,9,3,1,32.21,676,24.18,0,0,676,2796.35,SoCal 4
Manhattan Beach,Scheduled,2/26/24,Monday,2024,2024,9,3,1,33.5,684.5,31.11,0,0,684.5,2200,SoCal 4
Manhattan Beach,Year Ago,2/26/24,Monday,2024,2024,9,3,1,42.11,830,35.95,0,0,830,2307.71,SoCal 4
